ID,Start time,Completion time,Email,Name,Last modified time,Years of experience with USVs in Survey Industry,Role (Optional),Country (Optional),How do you rate the initial investment cost of USVs compared to traditional vessels?,What percentage of operational cost savings have you observed or expect from USVs?,How do maintenance costs compare between USVs and conventional vessels?,Which cost-related factors most influence USV adoption in your company?,HowdoyouratetheoperationalefficiencyofUSVsvs.traditionalvessels?,"In your view, Which project types are best suited for USVs today?",What are the main barriers to USVs fully replacing manned vessels?,What are the biggest unknowns or uncertainties with USVs in survey use?,Do you consider USV operations safe for commercial hydrographic use today?,How does the data collection capability of USVs compare to conventional vessels?,What technologies will most influence USV adoption next?,How does data processing workflow differ when using USVs compared to traditional vessels?
1,5/24/25 14:15:30,5/24/25 14:28:03,anonymous,,,<1 year,Senior Hydrographer,Morocco,Much higher,<10%,About the same,Platform cost (purchase/lease);Crew logistics;Sensor integration;,Muchmoreefficient,Shallow Water & Coastal Mapping;Survey Gap-Filling & Rapid Response;,Autonomy limitations;Endurance/payload limits;Cost of platform/sensors;,Long-term durability;Remote control reliability;Sensor integration limits;Deepwater or rough-sea data quality;,Yes - proven in controlled settings;Yes - with operator supervision;,Significantly better with conventional vessels;,AI-assisted planning;Edge computing / real-time processing;Launch/recovery system improvements;AUV/ROV interoperability;Remote operations centers;,About the same;
2,5/24/25 14:49:27,5/24/25 14:52:58,anonymous,,,1-5 years,USV Operator (2nd Officer),United Kingdom ,Much lower ,25-50%,Much lower,Mobilization/demobilization costs;Fuel & emissions;Maintenance turnaround;Training & certification;,Aboutthesame,Cable & Pipeline Route Surveys;Asset Inspection & Photogrammetry;Shallow Water & Coastal Mapping;Offshore Seabed Mapping;,Technical reliability;Regulatory restrictions;Endurance/payload limits;Shore infrastructure not ready;,Deepwater or rough-sea data quality;Remote control reliability;Legal/insurance issues;,Yes - with operator supervision;,About the same;Slightly better with USVs;,Launch/recovery system improvements;BVLOS regulatory approval;,Significantly faster;Most of the time we can being initial processing within an hour of data collection ;
3,5/24/25 15:01:51,5/24/25 15:09:05,anonymous,,,>5 years,Hydrographic Surveyor / MD ,UK,Much lower ,25-50%,Much lower,Mobilization/demobilization costs;Crew logistics;Fuel & emissions;Insurance & liability;Training & certification;,Aboutthesame,Shallow Water & Coastal Mapping;Survey Gap-Filling & Rapid Response;,Regulatory restrictions;Endurance/payload limits;,Deepwater or rough-sea data quality;Long-term durability;Remote control reliability;Legal/insurance issues;,Yes - proven in controlled settings;,Slightly better with conventional vessels;,BVLOS regulatory approval;Launch/recovery system improvements;,About the same;
4,5/24/25 15:32:43,5/24/25 15:36:04,anonymous,,,1-5 years,Survey Manager ,India,Much lower ,10-25%,Much lower,Mobilization/demobilization costs;,Aboutthesame,Shallow Water & Coastal Mapping;,Technical reliability;,Deepwater or rough-sea data quality;Long-term durability;,Yes - with operator supervision;,Significantly better with USVs;,Remote operations centers;AUV/ROV interoperability;,Slightly faster;
5,5/24/25 15:26:40,5/24/25 15:37:15,anonymous,,,1-5 years,Managing Director,Australia,Somewhat lower,25-50%,Much lower,Sensor integration;Mobilization/demobilization costs;Fuel & emissions;,Muchlessefficient,Offshore Seabed Mapping;AUV Tracking & Communications Relay;Shallow Water & Coastal Mapping;,Technical reliability;Cost of platform/sensors;Endurance/payload limits;,Long-term durability;Sensor integration limits;Legal/insurance issues;,Yes - depends on site type;,About the same;,Launch/recovery system improvements;Full COLREG autonomy;BVLOS regulatory approval;,Dependent on the onboard data transmission to office;
6,5/24/25 15:31:51,5/24/25 15:42:58,anonymous,,,>5 years,Surveyor,United Kingdom,Somewhat lower,10-25%,Much lower,Mobilization/demobilization costs;Fuel & emissions;Sensor integration;Maintenance turnaround;Platform cost (purchase/lease);Market Gap observed and identified for the above reasons;,Slightlylessefficient,Shallow Water & Coastal Mapping;Offshore Seabed Mapping;Cable & Pipeline Route Surveys;Gravimetric & Long-Term Monitoring;AUV Tracking & Communications Relay;Survey Gap-Filling & Rapid Response;Asset Inspection & Photogrammetry;Environmental & Baseline Monitoring;,"Technical reliability;Autonomy limitations;At present it is still possible to compete on price with a normal manned vessel. In addition to that not everyone wants to work onshore, especially not a ROC;","As we’ve been doing it for over 5 years there is little uncertainty regarding any of these now, especially since the release of the MCA workboat code;",Yes - proven in controlled settings;Yes - we have been doing it successfully for over 5 years now;,"About the same;The equipment carried is the same, if anything there is less flexing in the structures so there is better accuracy. Also the main limitation on most vessels is the human’s. ;",AUV/ROV interoperability;Edge computing / real-time processing;,"About the same;Today nearly all processing is done onshore rather than on the vessels be it USV or manned - some USV companies keep the data locally before uploading it from onshore, however it is often given a first pass in processing on the USV computers automatically.  ;"
7,5/24/25 15:38:53,5/24/25 15:46:46,anonymous,,,1-5 years,Project surveyor,UK,Much lower ,10-25%,Much lower,Mobilization/demobilization costs;Crew logistics;Fuel & emissions;,Slightlylessefficient,Shallow Water & Coastal Mapping;Offshore Seabed Mapping;Cable & Pipeline Route Surveys;Environmental & Baseline Monitoring;Asset Inspection & Photogrammetry;Gravimetric & Long-Term Monitoring;Survey Gap-Filling & Rapid Response;AUV Tracking & Communications Relay;USV can do most surveys. Just depends on the equipment requirements . Things like 2d UHR have too complex towing arrangements at the moment;,Regulatory restrictions;Endurance/payload limits;,Deepwater or rough-sea data quality;COLREG/autonomous navigation;Client/regulator acceptance;,Yes - with operator supervision;,About the same;,Full COLREG autonomy;Edge computing / real-time processing;Launch/recovery system improvements;,About the same;
8,5/24/25 16:29:55,5/24/25 16:34:35,anonymous,,,>5 years,Survey Party Chief / Engineer ,UK,Much lower ,<10%,Much lower,Fuel & emissions;Platform cost (purchase/lease);Mobilization/demobilization costs;,Slightlymoreefficient,Shallow Water & Coastal Mapping;Environmental & Baseline Monitoring;Survey Gap-Filling & Rapid Response;,Regulatory restrictions;Endurance/payload limits;Technical reliability;,COLREG/autonomous navigation;Client/regulator acceptance;Long-term durability;,Yes - proven in controlled settings;Yes - depends on site type;,About the same;,Full COLREG autonomy;,About the same;
9,5/24/25 16:38:20,5/24/25 16:43:58,anonymous,,,1-5 years,,EU,Somewhat lower,25-50%,Much lower,Insurance & liability;Training & certification;,Muchlessefficient,Shallow Water & Coastal Mapping;Survey Gap-Filling & Rapid Response;,Technical reliability;Autonomy limitations;Regulatory restrictions;Endurance/payload limits;,Deepwater or rough-sea data quality;COLREG/autonomous navigation;Remote control reliability;Legal/insurance issues;,Yes - with operator supervision;No - still key concerns;,Significantly better with conventional vessels;,Reliability;,About the same;
10,5/24/25 16:47:10,5/24/25 16:50:14,anonymous,,,>5 years,Survey Engineer ,UK,Somewhat higher,25-50%,About the same,Crew logistics;,Aboutthesame,Shallow Water & Coastal Mapping;Survey Gap-Filling & Rapid Response;,Regulatory restrictions;Crew or cultural resistance;,Deepwater or rough-sea data quality;Sensor integration limits;Remote control reliability;,Yes - with operator supervision;,About the same;,AI-assisted planning;Full COLREG autonomy;Launch/recovery system improvements;,About the same;
